date,MMWR_week,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Administered_Dose1_Pop_Pct,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,Series_Complete_Pop_Pct,Booster_Daily,Booster_Cumulative,Booster_7_Day_Rolling_Average,Additional_Doses_Vax_Pct,Second_Booster_50Plus_Daily,Second_Booster_50Plus_Cumulative,Second_Booster_50Plus_7_Day_Rolling_Average,Second_Booster_50Plus_Vax_Pct,Bivalent_Booster_Daily,Bivalent_Booster_Cumulative,Bivalent_Booster_7_Day_Rolling_Average,Bivalent_Booster_Pop_Pct,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Administered_Daily_Pct,Series_Complete_Daily_Pct,Series_Complete_Ratio,Booster_Daily_Pct,Booster_Ratio
2021-01-04,120,1800213,23365519,1609503.0,1206027,13350759,875549.0,230.69,1327272.0,1609503.0,91202,215218,22071.0,1.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,65+ Years,57.56196790858782,0.021,0.0,7.704570996261628,42.37656701577006,0.050661782800146424,,0.0
2021-01-04,120,1800213,23365519,1609503.0,1206027,13350759,875549.0,230.69,1327272.0,1609503.0,91202,215218,22071.0,1.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,5 - 11 Years,31.78342243217789,0.0,0.0,7.704570996261628,42.37656701577006,0.050661782800146424,,0.0
2021-01-04,120,1800213,23365519,1609503.0,1206027,13350759,875549.0,230.69,1327272.0,1609503.0,91202,215218,22071.0,1.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,12 - 17 Years,55.18443445351389,0.0,0.0,7.704570996261628,42.37656701577006,0.050661782800146424,,0.0
2021-01-04,120,1800213,23365519,1609503.0,1206027,13350759,875549.0,230.69,1327272.0,1609503.0,91202,215218,22071.0,1.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,18 - 24 Years,89.66294008991689,0.01,0.0,7.704570996261628,42.37656701577006,0.050661782800146424,,0.0
2021-01-04,120,1800213,23365519,1609503.0,1206027,13350759,875549.0,230.69,1327272.0,1609503.0,91202,215218,22071.0,1.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,25 - 49 Years,84.08986606257913,0.03,0.0,7.704570996261628,42.37656701577006,0.050661782800146424,,0.0
2021-01-04,120,1800213,23365519,1609503.0,1206027,13350759,875549.0,230.69,1327272.0,1609503.0,91202,215218,22071.0,1.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,50 - 64 Years,71.73132309880914,0.03,0.001,7.704570996261628,42.37656701577006,0.050661782800146424,,0.0
2021-01-04,120,1800213,23365519,1609503.0,1206027,13350759,875549.0,230.69,1327272.0,1609503.0,91202,215218,22071.0,1.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,<2 Years,16.69001960730524,0.0,0.0,7.704570996261628,42.37656701577006,0.050661782800146424,,0.0
2021-01-04,120,1800213,23365519,1609503.0,1206027,13350759,875549.0,230.69,1327272.0,1609503.0,91202,215218,22071.0,1.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2 - 4 Years,32.076290446733175,0.0,0.0,7.704570996261628,42.37656701577006,0.050661782800146424,,0.0
2021-01-05,120,2337060,25702579,1647187.0,1471245,14822004,883833.0,248.96,1676213.0,1647187.0,176831,392049,45763.0,4.1000000000000005,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,65+ Years,58.95940195383002,0.025,0.0,9.092706222204395,45.10431094072425,0.07566386827894876,,0.0
2021-01-05,120,2337060,25702579,1647187.0,1471245,14822004,883833.0,248.96,1676213.0,1647187.0,176831,392049,45763.0,4.1000000000000005,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2 - 4 Years,33.047976267986044,0.0,0.0,9.092706222204395,45.10431094072425,0.07566386827894876,,0.0
2021-01-05,120,2337060,25702579,1647187.0,1471245,14822004,883833.0,248.96,1676213.0,1647187.0,176831,392049,45763.0,4.1000000000000005,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,5 - 11 Years,32.83704429197294,0.0,0.0,9.092706222204395,45.10431094072425,0.07566386827894876,,0.0
2021-01-05,120,2337060,25702579,1647187.0,1471245,14822004,883833.0,248.96,1676213.0,1647187.0,176831,392049,45763.0,4.1000000000000005,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,12 - 17 Years,57.38870529451066,0.0,0.0,9.092706222204395,45.10431094072425,0.07566386827894876,,0.0
2021-01-05,120,2337060,25702579,1647187.0,1471245,14822004,883833.0,248.96,1676213.0,1647187.0,176831,392049,45763.0,4.1000000000000005,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,18 - 24 Years,93.316245871677,0.011,0.0,9.092706222204395,45.10431094072425,0.07566386827894876,,0.0
2021-01-05,120,2337060,25702579,1647187.0,1471245,14822004,883833.0,248.96,1676213.0,1647187.0,176831,392049,45763.0,4.1000000000000005,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,25 - 49 Years,86.12510371166816,0.033,0.001,9.092706222204395,45.10431094072425,0.07566386827894876,,0.0
2021-01-05,120,2337060,25702579,1647187.0,1471245,14822004,883833.0,248.96,1676213.0,1647187.0,176831,392049,45763.0,4.1000000000000005,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,50 - 64 Years,73.38815270482223,0.033,0.001,9.092706222204395,45.10431094072425,0.07566386827894876,,0.0
2021-01-05,120,2337060,25702579,1647187.0,1471245,14822004,883833.0,248.96,1676213.0,1647187.0,176831,392049,45763.0,4.1000000000000005,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,<2 Years,17.124732940799166,0.0,0.0,9.092706222204395,45.10431094072425,0.07566386827894876,,0.0
2021-01-06,120,3222508,28925087,1743724.0,1666127,16488131,886045.0,274.14,2055652.0,1743724.0,349506,741555,93506.0,8.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,65+ Years,58.18827628363018,0.029,0.001,11.140875738766145,47.13150069785788,0.10845776022898934,,0.0
2021-01-06,120,3222508,28925087,1743724.0,1666127,16488131,886045.0,274.14,2055652.0,1743724.0,349506,741555,93506.0,8.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,50 - 64 Years,72.54520829167801,0.037,0.002,11.140875738766145,47.13150069785788,0.10845776022898934,,0.0
2021-01-06,120,3222508,28925087,1743724.0,1666127,16488131,886045.0,274.14,2055652.0,1743724.0,349506,741555,93506.0,8.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,25 - 49 Years,85.41106414129362,0.036,0.002,11.140875738766145,47.13150069785788,0.10845776022898934,,0.0
2021-01-06,120,3222508,28925087,1743724.0,1666127,16488131,886045.0,274.14,2055652.0,1743724.0,349506,741555,93506.0,8.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,18 - 24 Years,94.0990971106256,0.013,0.0,11.140875738766145,47.13150069785788,0.10845776022898934,,0.0
2021-01-06,120,3222508,28925087,1743724.0,1666127,16488131,886045.0,274.14,2055652.0,1743724.0,349506,741555,93506.0,8.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,5 - 11 Years,33.24232209981594,0.0,0.0,11.140875738766145,47.13150069785788,0.10845776022898934,,0.0
